county_fips_code,year,unit_desc,Value,state_alpha,county_name
1083,2017,BU,10800.0,AL,LIMESTONE
1051,2012,BU,576.0,AL,ELMORE
2090,2017,BU,224542.0,AK,FAIRBANKS NORTH STAR
2090,2007,BU,165279.0,AK,FAIRBANKS NORTH STAR
2020,2017,BU,675.0,AK,ANCHORAGE
4001,2007,BU,211.0,AZ,APACHE
4025,2017,BU,3537.0,AZ,YAVAPAI
4003,2017,BU,212668.0,AZ,COCHISE
4003,2012,BU,396499.0,AZ,COCHISE
4003,2007,BU,160829.0,AZ,COCHISE
4009,2017,BU,233628.0,AZ,GRAHAM
4009,2012,BU,98549.0,AZ,GRAHAM
4009,2007,BU,69896.0,AZ,GRAHAM
4013,2017,BU,499350.0,AZ,MARICOPA
4013,2012,BU,1717413.0,AZ,MARICOPA
4013,2007,BU,1554793.0,AZ,MARICOPA
4019,2012,BU,182879.0,AZ,PIMA
4019,2007,BU,209273.0,AZ,PIMA
4021,2017,BU,1071869.0,AZ,PINAL
4021,2012,BU,2473139.0,AZ,PINAL
4021,2007,BU,1295734.0,AZ,PINAL
4027,2017,BU,40103.0,AZ,YUMA
4027,2012,BU,68611.0,AZ,YUMA
6093,2017,BU,335321.0,CA,SISKIYOU
6093,2012,BU,320417.0,CA,SISKIYOU
6093,2007,BU,346850.0,CA,SISKIYOU
6035,2007,BU,126165.0,CA,LASSEN
6049,2017,BU,618257.0,CA,MODOC
6049,2012,BU,311147.0,CA,MODOC
6049,2007,BU,273815.0,CA,MODOC
6053,2017,BU,173755.0,CA,MONTEREY
6053,2012,BU,207525.0,CA,MONTEREY
6053,2007,BU,191728.0,CA,MONTEREY
6069,2012,BU,7162.0,CA,SAN BENITO
6079,2017,BU,514234.0,CA,SAN LUIS OBISPO
6079,2012,BU,705362.0,CA,SAN LUIS OBISPO
6079,2007,BU,322913.0,CA,SAN LUIS OBISPO
6021,2017,BU,41816.0,CA,GLENN
6021,2012,BU,51457.0,CA,GLENN
6021,2007,BU,56443.0,CA,GLENN
6067,2012,BU,29167.0,CA,SACRAMENTO
6067,2007,BU,33718.0,CA,SACRAMENTO
6095,2017,BU,98247.0,CA,SOLANO
6095,2012,BU,166556.0,CA,SOLANO
6095,2007,BU,24127.0,CA,SOLANO
6103,2007,BU,73339.0,CA,TEHAMA
6113,2017,BU,264260.0,CA,YOLO
6113,2012,BU,160560.0,CA,YOLO
6113,2007,BU,114549.0,CA,YOLO
6019,2017,BU,215934.0,CA,FRESNO
6019,2012,BU,478338.0,CA,FRESNO
6019,2007,BU,351675.0,CA,FRESNO
6029,2017,BU,131381.0,CA,KERN
6029,2012,BU,211070.0,CA,KERN
6029,2007,BU,225883.0,CA,KERN
6031,2012,BU,413044.0,CA,KINGS
6031,2007,BU,154009.0,CA,KINGS
6039,2017,BU,4925.0,CA,MADERA
6039,2012,BU,66216.0,CA,MADERA
6039,2007,BU,11817.0,CA,MADERA
6047,2017,BU,89484.0,CA,MERCED
6047,2012,BU,162512.0,CA,MERCED
6077,2017,BU,33546.0,CA,SAN JOAQUIN
6077,2012,BU,57500.0,CA,SAN JOAQUIN
6077,2007,BU,18518.0,CA,SAN JOAQUIN
6099,2012,BU,18234.0,CA,STANISLAUS
6099,2007,BU,27649.0,CA,STANISLAUS
6107,2017,BU,13492.0,CA,TULARE
6107,2012,BU,47407.0,CA,TULARE
6107,2007,BU,31336.0,CA,TULARE
6037,2012,BU,800647.0,CA,LOS ANGELES
6065,2012,BU,67279.0,CA,RIVERSIDE
6071,2007,BU,7584.0,CA,SAN BERNARDINO
8081,2007,BU,14720.0,CO,MOFFAT
8013,2017,BU,75693.0,CO,BOULDER
8013,2012,BU,80096.0,CO,BOULDER
8013,2007,BU,131406.0,CO,BOULDER
8069,2017,BU,107098.0,CO,LARIMER
8069,2012,BU,116348.0,CO,LARIMER
8069,2007,BU,218508.0,CO,LARIMER
8075,2017,BU,15888.0,CO,LOGAN
8087,2012,BU,35554.0,CO,MORGAN
8123,2017,BU,715977.0,CO,WELD
8123,2012,BU,422350.0,CO,WELD
8123,2007,BU,654817.0,CO,WELD
8001,2012,BU,6902.0,CO,ADAMS
8063,2007,BU,29800.0,CO,KIT CARSON
8125,2017,BU,57762.0,CO,YUMA
8007,2017,BU,7208.0,CO,ARCHULETA
8029,2012,BU,3529.0,CO,DELTA
8029,2007,BU,5340.0,CO,DELTA
8067,2017,BU,7340.0,CO,LA PLATA
8083,2017,BU,13500.0,CO,MONTEZUMA
8085,2017,BU,9745.0,CO,MONTROSE
8085,2012,BU,13900.0,CO,MONTROSE
8085,2007,BU,49837.0,CO,MONTROSE
8003,2017,BU,1281067.0,CO,ALAMOSA
8003,2012,BU,1017130.0,CO,ALAMOSA
8003,2007,BU,1010612.0,CO,ALAMOSA
8021,2017,BU,645537.0,CO,CONEJOS
8021,2012,BU,472867.0,CO,CONEJOS
8021,2007,BU,752969.0,CO,CONEJOS
8023,2017,BU,574290.0,CO,COSTILLA
8023,2012,BU,393265.0,CO,COSTILLA
8023,2007,BU,685525.0,CO,COSTILLA
