county_fips_code,year,unit_desc,Value,state_alpha,county_name
1083,2017,$,52000.0,AL,LIMESTONE
2090,2017,$,629000.0,AK,FAIRBANKS NORTH STAR
2020,2017,$,1000.0,AK,ANCHORAGE
4003,2017,$,763000.0,AZ,COCHISE
4003,2012,$,2001000.0,AZ,COCHISE
4003,2007,$,689000.0,AZ,COCHISE
4009,2017,$,1104000.0,AZ,GRAHAM
4009,2012,$,556000.0,AZ,GRAHAM
4013,2017,$,2144000.0,AZ,MARICOPA
4013,2012,$,9106000.0,AZ,MARICOPA
4019,2007,$,806000.0,AZ,PIMA
4021,2017,$,2222000.0,AZ,PINAL
4021,2012,$,13224000.0,AZ,PINAL
6093,2017,$,1382000.0,CA,SISKIYOU
6093,2012,$,1751000.0,CA,SISKIYOU
6093,2007,$,1924000.0,CA,SISKIYOU
6035,2007,$,184000.0,CA,LASSEN
6049,2007,$,943000.0,CA,MODOC
6053,2017,$,618000.0,CA,MONTEREY
6053,2012,$,963000.0,CA,MONTEREY
6069,2012,$,27000.0,CA,SAN BENITO
6079,2017,$,1886000.0,CA,SAN LUIS OBISPO
6079,2012,$,3900000.0,CA,SAN LUIS OBISPO
6079,2007,$,901000.0,CA,SAN LUIS OBISPO
6021,2012,$,297000.0,CA,GLENN
6021,2007,$,213000.0,CA,GLENN
6067,2007,$,140000.0,CA,SACRAMENTO
6095,2017,$,456000.0,CA,SOLANO
6095,2007,$,106000.0,CA,SOLANO
6113,2017,$,1460000.0,CA,YOLO
6113,2012,$,919000.0,CA,YOLO
6113,2007,$,474000.0,CA,YOLO
6019,2012,$,3013000.0,CA,FRESNO
6019,2007,$,1506000.0,CA,FRESNO
6029,2017,$,467000.0,CA,KERN
6029,2012,$,1245000.0,CA,KERN
6031,2012,$,2169000.0,CA,KINGS
6039,2017,$,21000.0,CA,MADERA
6039,2012,$,146000.0,CA,MADERA
6039,2007,$,32000.0,CA,MADERA
6047,2017,$,391000.0,CA,MERCED
6047,2012,$,959000.0,CA,MERCED
6047,2007,$,441000.0,CA,MERCED
6077,2017,$,154000.0,CA,SAN JOAQUIN
6077,2012,$,319000.0,CA,SAN JOAQUIN
6077,2007,$,86000.0,CA,SAN JOAQUIN
6099,2012,$,68000.0,CA,STANISLAUS
6099,2007,$,99000.0,CA,STANISLAUS
6107,2017,$,28000.0,CA,TULARE
6107,2012,$,198000.0,CA,TULARE
6107,2007,$,98000.0,CA,TULARE
6065,2012,$,351000.0,CA,RIVERSIDE
8013,2017,$,523000.0,CO,BOULDER
8013,2012,$,515000.0,CO,BOULDER
8013,2007,$,366000.0,CO,BOULDER
8069,2007,$,849000.0,CO,LARIMER
8075,2017,$,100000.0,CO,LOGAN
8087,2012,$,227000.0,CO,MORGAN
8123,2017,$,3706000.0,CO,WELD
8123,2012,$,2538000.0,CO,WELD
8123,2007,$,2151000.0,CO,WELD
8001,2012,$,43000.0,CO,ADAMS
8063,2007,$,78000.0,CO,KIT CARSON
8125,2017,$,294000.0,CO,YUMA
8007,2017,$,37000.0,CO,ARCHULETA
8029,2012,$,16000.0,CO,DELTA
8029,2007,$,9000.0,CO,DELTA
8083,2017,$,68000.0,CO,MONTEZUMA
8085,2017,$,43000.0,CO,MONTROSE
8085,2012,$,87000.0,CO,MONTROSE
8085,2007,$,127000.0,CO,MONTROSE
8003,2017,$,6089000.0,CO,ALAMOSA
8003,2007,$,3357000.0,CO,ALAMOSA
8021,2017,$,2926000.0,CO,CONEJOS
8021,2012,$,3094000.0,CO,CONEJOS
8021,2007,$,2548000.0,CO,CONEJOS
