county_fips_code,year,unit_desc,Value,state_alpha,county_name
4003,2009,BU / ACRE,129.0,AZ,COCHISE
4003,2008,BU / ACRE,125.0,AZ,COCHISE
4003,2007,BU / ACRE,138.0,AZ,COCHISE
4009,2010,BU / ACRE,83.6,AZ,GRAHAM
4009,2009,BU / ACRE,116.0,AZ,GRAHAM
4009,2007,BU / ACRE,94.0,AZ,GRAHAM
4012,2009,BU / ACRE,151.0,AZ,LAPAZ
4013,2016,BU / ACRE,127.1,AZ,MARICOPA
4013,2010,BU / ACRE,125.0,AZ,MARICOPA
4013,2009,BU / ACRE,116.0,AZ,MARICOPA
4013,2008,BU / ACRE,114.0,AZ,MARICOPA
4013,2007,BU / ACRE,105.0,AZ,MARICOPA
4019,2009,BU / ACRE,98.0,AZ,PIMA
4019,2008,BU / ACRE,82.0,AZ,PIMA
4019,2007,BU / ACRE,107.0,AZ,PIMA
4021,2021,BU / ACRE,136.7,AZ,PINAL
4021,2016,BU / ACRE,118.5,AZ,PINAL
4021,2010,BU / ACRE,137.5,AZ,PINAL
4021,2009,BU / ACRE,117.0,AZ,PINAL
4021,2008,BU / ACRE,130.0,AZ,PINAL
4021,2007,BU / ACRE,112.0,AZ,PINAL
4027,2010,BU / ACRE,90.0,AZ,YUMA
4027,2009,BU / ACRE,84.0,AZ,YUMA
4027,2008,BU / ACRE,95.5,AZ,YUMA
4027,2007,BU / ACRE,85.0,AZ,YUMA
6089,2010,BU / ACRE,60.0,CA,SHASTA
6093,2021,BU / ACRE,61.0,CA,SISKIYOU
6093,2013,BU / ACRE,93.3,CA,SISKIYOU
6093,2010,BU / ACRE,76.6,CA,SISKIYOU
6093,2007,BU / ACRE,79.2,CA,SISKIYOU
6035,2013,BU / ACRE,46.7,CA,LASSEN
6035,2007,BU / ACRE,150.0,CA,LASSEN
6049,2020,BU / ACRE,55.2,CA,MODOC
6049,2013,BU / ACRE,90.2,CA,MODOC
6049,2007,BU / ACRE,100.4,CA,MODOC
6053,2020,BU / ACRE,41.0,CA,MONTEREY
6053,2015,BU / ACRE,36.4,CA,MONTEREY
6053,2009,BU / ACRE,28.0,CA,MONTEREY
6053,2008,BU / ACRE,48.0,CA,MONTEREY
6053,2007,BU / ACRE,92.8,CA,MONTEREY
6079,2021,BU / ACRE,44.0,CA,SAN LUIS OBISPO
6079,2020,BU / ACRE,52.3,CA,SAN LUIS OBISPO
6079,2019,BU / ACRE,56.7,CA,SAN LUIS OBISPO
6079,2018,BU / ACRE,57.7,CA,SAN LUIS OBISPO
6079,2016,BU / ACRE,49.9,CA,SAN LUIS OBISPO
6079,2012,BU / ACRE,33.2,CA,SAN LUIS OBISPO
6079,2011,BU / ACRE,41.4,CA,SAN LUIS OBISPO
6079,2010,BU / ACRE,43.3,CA,SAN LUIS OBISPO
6079,2009,BU / ACRE,21.0,CA,SAN LUIS OBISPO
6079,2008,BU / ACRE,29.0,CA,SAN LUIS OBISPO
6079,2007,BU / ACRE,28.7,CA,SAN LUIS OBISPO
6021,2009,BU / ACRE,93.0,CA,GLENN
6021,2007,BU / ACRE,104.0,CA,GLENN
6095,2019,BU / ACRE,91.6,CA,SOLANO
6095,2017,BU / ACRE,72.7,CA,SOLANO
6095,2012,BU / ACRE,54.0,CA,SOLANO
6103,2008,BU / ACRE,47.0,CA,TEHAMA
6103,2007,BU / ACRE,40.0,CA,TEHAMA
6113,2018,BU / ACRE,97.5,CA,YOLO
6113,2015,BU / ACRE,80.0,CA,YOLO
6113,2014,BU / ACRE,35.2,CA,YOLO
6113,2013,BU / ACRE,64.3,CA,YOLO
6113,2010,BU / ACRE,73.5,CA,YOLO
6113,2008,BU / ACRE,63.0,CA,YOLO
6113,2007,BU / ACRE,42.5,CA,YOLO
6019,2011,BU / ACRE,68.7,CA,FRESNO
6019,2010,BU / ACRE,74.7,CA,FRESNO
6019,2007,BU / ACRE,53.9,CA,FRESNO
6029,2011,BU / ACRE,36.8,CA,KERN
6029,2007,BU / ACRE,96.7,CA,KERN
6031,2011,BU / ACRE,66.7,CA,KINGS
6031,2007,BU / ACRE,97.5,CA,KINGS
6039,2007,BU / ACRE,70.0,CA,MADERA
6047,2010,BU / ACRE,60.5,CA,MERCED
6077,2012,BU / ACRE,100.0,CA,SAN JOAQUIN
6077,2009,BU / ACRE,42.0,CA,SAN JOAQUIN
6077,2007,BU / ACRE,40.0,CA,SAN JOAQUIN
6107,2007,BU / ACRE,110.0,CA,TULARE
8081,2007,BU / ACRE,23.0,CO,MOFFAT
8013,2010,BU / ACRE,91.7,CO,BOULDER
8013,2008,BU / ACRE,81.5,CO,BOULDER
8013,2007,BU / ACRE,96.5,CO,BOULDER
8069,2016,BU / ACRE,97.5,CO,LARIMER
8069,2012,BU / ACRE,92.4,CO,LARIMER
8069,2011,BU / ACRE,110.0,CO,LARIMER
8069,2010,BU / ACRE,95.9,CO,LARIMER
8069,2009,BU / ACRE,81.0,CO,LARIMER
8069,2008,BU / ACRE,83.0,CO,LARIMER
8069,2007,BU / ACRE,98.0,CO,LARIMER
8087,2007,BU / ACRE,55.0,CO,MORGAN
8123,2021,BU / ACRE,86.2,CO,WELD
8123,2020,BU / ACRE,101.3,CO,WELD
8123,2016,BU / ACRE,112.7,CO,WELD
8123,2012,BU / ACRE,75.4,CO,WELD
8123,2011,BU / ACRE,104.2,CO,WELD
8123,2010,BU / ACRE,97.4,CO,WELD
8123,2009,BU / ACRE,95.0,CO,WELD
8123,2008,BU / ACRE,76.0,CO,WELD
8123,2007,BU / ACRE,90.5,CO,WELD
8003,2021,BU / ACRE,119.6,CO,ALAMOSA
8003,2020,BU / ACRE,166.5,CO,ALAMOSA
8003,2018,BU / ACRE,164.4,CO,ALAMOSA
8003,2015,BU / ACRE,145.0,CO,ALAMOSA
8003,2014,BU / ACRE,132.9,CO,ALAMOSA
8003,2013,BU / ACRE,135.9,CO,ALAMOSA
8003,2012,BU / ACRE,133.1,CO,ALAMOSA
8003,2011,BU / ACRE,126.8,CO,ALAMOSA
8003,2010,BU / ACRE,137.5,CO,ALAMOSA
8003,2009,BU / ACRE,153.0,CO,ALAMOSA
8003,2008,BU / ACRE,125.0,CO,ALAMOSA
8003,2007,BU / ACRE,129.5,CO,ALAMOSA
8021,2021,BU / ACRE,121.4,CO,CONEJOS
8021,2020,BU / ACRE,140.2,CO,CONEJOS
8021,2018,BU / ACRE,123.1,CO,CONEJOS
8021,2015,BU / ACRE,114.5,CO,CONEJOS
8021,2014,BU / ACRE,108.1,CO,CONEJOS
