county_fips_code,year,unit_desc,Value,state_alpha,county_name
1059,2012,BU,483766.576,AL,FRANKLIN
1059,2007,BU,84679.504,AL,FRANKLIN
1077,2012,BU,1852727.016,AL,LAUDERDALE
1009,2017,BU,123177.632,AL,BLOUNT
1009,2012,BU,219889.2,AL,BLOUNT
1015,2012,BU,145879.104,AL,CALHOUN
1043,2017,BU,1398664.2000000002,AL,CULLMAN
1043,2012,BU,618135.0,AL,CULLMAN
1043,2007,BU,409889.696,AL,CULLMAN
1055,2007,BU,198510.24,AL,ETOWAH
1095,2017,BU,614527.8,AL,MARSHALL
1095,2012,BU,258425.72,AL,MARSHALL
1057,2012,BU,379110.008,AL,FAYETTE
1121,2017,BU,585204.776,AL,TALLADEGA
1001,2017,BU,169022.8,AL,AUTAUGA
1001,2012,BU,327550.44800000003,AL,AUTAUGA
1001,2007,BU,119947.16,AL,AUTAUGA
1047,2012,BU,435253.76,AL,DALLAS
1051,2012,BU,368061.488,AL,ELMORE
1085,2017,BU,445219.16,AL,LOWNDES
1085,2012,BU,380555.96,AL,LOWNDES
1085,2007,BU,216738.248,AL,LOWNDES
1101,2012,BU,1508877.52,AL,MONTGOMERY
1119,2017,BU,400929.52,AL,SUMTER
1003,2012,BU,604902.76,AL,BALDWIN
1003,2007,BU,443381.968,AL,BALDWIN
1013,2017,BU,429417.016,AL,BUTLER
1031,2012,BU,437565.28,AL,COFFEE
1031,2007,BU,717132.816,AL,COFFEE
1041,2017,BU,190025.96,AL,CRENSHAW
1041,2012,BU,332702.92,AL,CRENSHAW
1041,2007,BU,238920.04,AL,CRENSHAW
1045,2017,BU,454115.472,AL,DALE
1045,2007,BU,504955.712,AL,DALE
1061,2007,BU,442015.04,AL,GENEVA
1069,2007,BU,535382.672,AL,HOUSTON
4017,2017,BU,275520.80000000005,AZ,NAVAJO
4025,2017,BU,21299.2,AZ,YAVAPAI
4003,2007,BU,5450224.152000001,AZ,COCHISE
4009,2012,BU,1783891.408,AZ,GRAHAM
4013,2012,BU,14520754.224,AZ,MARICOPA
4013,2007,BU,12323837.256,AZ,MARICOPA
4021,2017,BU,22169808.864,AZ,PINAL
4021,2012,BU,22410533.632000003,AZ,PINAL
4021,2007,BU,16669318.728,AZ,PINAL
5007,2017,BU,408735.04,AR,BENTON
5007,2007,BU,248061.2,AR,BENTON
5149,2017,BU,390927.4,AR,YELL
5029,2012,BU,459855.864,AR,CONWAY
5045,2017,BU,271198.6,AR,FAULKNER
5073,2017,BU,2083258.04,AR,LAFAYETTE
5073,2012,BU,2597025.16,AR,LAFAYETTE
5091,2017,BU,1463815.0,AR,MILLER
5003,2017,BU,3549462.872,AR,ASHLEY
6023,2012,BU,179262.928,CA,HUMBOLDT
6013,2012,BU,1392421.008,CA,CONTRA COSTA
6085,2012,BU,11566.72,CA,SANTA CLARA
6097,2017,BU,601853.152,CA,SONOMA
6097,2012,BU,870386.064,CA,SONOMA
6007,2012,BU,329129.68000000005,CA,BUTTE
6007,2007,BU,515187.408,CA,BUTTE
6021,2017,BU,5229938.288000001,CA,GLENN
6021,2012,BU,9177032.592,CA,GLENN
6021,2007,BU,9636909.936,CA,GLENN
6067,2017,BU,9028437.768,CA,SACRAMENTO
6067,2012,BU,7378533.56,CA,SACRAMENTO
6067,2007,BU,11096713.232,CA,SACRAMENTO
6095,2012,BU,3034936.776,CA,SOLANO
6095,2007,BU,3132338.8,CA,SOLANO
6103,2007,BU,1035159.096,CA,TEHAMA
6113,2017,BU,2528038.68,CA,YOLO
6113,2012,BU,4302990.0,CA,YOLO
6019,2017,BU,22346847.616,CA,FRESNO
6019,2012,BU,32146794.704,CA,FRESNO
6019,2007,BU,37423087.968,CA,FRESNO
6029,2017,BU,28702483.112,CA,KERN
6029,2012,BU,26559653.688,CA,KERN
6029,2007,BU,31496031.872,CA,KERN
6031,2017,BU,34557920.56,CA,KINGS
6031,2012,BU,62373863.024,CA,KINGS
6031,2007,BU,59251945.84,CA,KINGS
6039,2017,BU,18028029.968,CA,MADERA
6039,2012,BU,22720687.584000003,CA,MADERA
6039,2007,BU,21890618.888,CA,MADERA
6047,2017,BU,85268434.34400001,CA,MERCED
6047,2012,BU,97962241.0,CA,MERCED
6047,2007,BU,77406492.69600001,CA,MERCED
6077,2017,BU,47216150.464,CA,SAN JOAQUIN
6077,2012,BU,58181672.304000005,CA,SAN JOAQUIN
6077,2007,BU,51541714.536000006,CA,SAN JOAQUIN
6099,2017,BU,50971288.856000006,CA,STANISLAUS
6099,2012,BU,64635949.824,CA,STANISLAUS
6099,2007,BU,61313585.712000005,CA,STANISLAUS
6107,2017,BU,98760822.176,CA,TULARE
6107,2012,BU,119363662.744,CA,TULARE
6107,2007,BU,124219282.968,CA,TULARE
6109,2012,BU,1125.52,CA,TUOLUMNE
6025,2017,BU,2882477.3200000003,CA,IMPERIAL
8013,2017,BU,1731784.512,CO,BOULDER
8013,2012,BU,1187547.04,CO,BOULDER
8013,2007,BU,1185802.44,CO,BOULDER
8069,2017,BU,7973677.568,CO,LARIMER
8069,2012,BU,8746467.816,CO,LARIMER
8069,2007,BU,6575852.9520000005,CO,LARIMER
8075,2017,BU,21572099.784,CO,LOGAN
8075,2012,BU,13169775.096,CO,LOGAN
8075,2007,BU,14200725.672,CO,LOGAN
8087,2017,BU,35675191.544,CO,MORGAN
8087,2012,BU,24754664.688,CO,MORGAN
8087,2007,BU,17157028.984,CO,MORGAN
8115,2017,BU,9940397.544,CO,SEDGWICK
8115,2012,BU,5525188.728,CO,SEDGWICK
8115,2007,BU,5648431.392,CO,SEDGWICK
8123,2017,BU,83736787.312,CO,WELD
8123,2012,BU,58798560.672000006,CO,WELD
8123,2007,BU,58920262.664000005,CO,WELD
8001,2017,BU,5162245.696,CO,ADAMS
8001,2012,BU,2175779.4960000003,CO,ADAMS
8001,2007,BU,2232329.984,CO,ADAMS
8017,2012,BU,4014718.432,CO,CHEYENNE
8017,2007,BU,5541739.4,CO,CHEYENNE
8035,2012,BU,11032.96,CO,DOUGLAS
8039,2007,BU,338532.304,CO,ELBERT
8041,2012,BU,94125.456,CO,EL PASO
8061,2007,BU,3048577.4,CO,KIOWA
8063,2017,BU,34100259.296000004,CO,KIT CARSON
8063,2012,BU,16311454.672,CO,KIT CARSON
8063,2007,BU,19931946.336,CO,KIT CARSON
8073,2012,BU,1000577.624,CO,LINCOLN
8073,2007,BU,2664681.528,CO,LINCOLN
8095,2017,BU,20713105.616,CO,PHILLIPS
8095,2012,BU,14711890.592,CO,PHILLIPS
8095,2007,BU,13378346.904,CO,PHILLIPS
8121,2017,BU,15622713.696,CO,WASHINGTON
8121,2012,BU,8546087.672,CO,WASHINGTON
8121,2007,BU,7402149.424000001,CO,WASHINGTON
8125,2017,BU,50576143.304,CO,YUMA
8125,2012,BU,44584238.112,CO,YUMA
8125,2007,BU,45630911.312,CO,YUMA
8029,2017,BU,2866264.008,CO,DELTA
8029,2012,BU,2337994.112,CO,DELTA
8029,2007,BU,2215498.9680000003,CO,DELTA
8045,2017,BU,203920.8,CO,GARFIELD
8077,2017,BU,2464168.568,CO,MESA
8077,2012,BU,2275226.456,CO,MESA
8077,2007,BU,2114570.032,CO,MESA
8083,2017,BU,1068282.7200000002,CO,MONTEZUMA
8085,2017,BU,2911863.112,CO,MONTROSE
8085,2012,BU,5861683.936000001,CO,MONTROSE
8085,2007,BU,4603060.848,CO,MONTROSE
8009,2017,BU,6529283.232,CO,BACA
8009,2012,BU,5436937.656,CO,BACA
8009,2007,BU,5867181.888,CO,BACA
8011,2017,BU,2321606.304,CO,BENT
8011,2012,BU,633945.256,CO,BENT
8011,2007,BU,2016462.768,CO,BENT
8025,2017,BU,86582.816,CO,CROWLEY
8089,2017,BU,2625238.824,CO,OTERO
8089,2012,BU,1836395.808,CO,OTERO
8089,2007,BU,2149081.936,CO,OTERO
8099,2017,BU,8340032.087999999,CO,PROWERS
8099,2012,BU,3382530.5360000003,CO,PROWERS
8099,2007,BU,6186780.728,CO,PROWERS
8101,2017,BU,2420340.472,CO,PUEBLO
8101,2012,BU,1295037.76,CO,PUEBLO
8101,2007,BU,1655755.9840000002,CO,PUEBLO
9001,2017,BU,19906.056,CT,FAIRFIELD
9003,2017,BU,1087837.192,CT,HARTFORD
9003,2012,BU,870175.904,CT,HARTFORD
9003,2007,BU,1120169.968,CT,HARTFORD
9005,2017,BU,2819452.2,CT,LITCHFIELD
9005,2012,BU,3011652.568,CT,LITCHFIELD
9005,2007,BU,3333548.416,CT,LITCHFIELD
9009,2017,BU,649144.456,CT,NEW HAVEN
9009,2007,BU,781917.9600000001,CT,NEW HAVEN
9011,2017,BU,4530326.552,CT,NEW LONDON
9011,2012,BU,4406372.136,CT,NEW LONDON
9011,2007,BU,4660529.384000001,CT,NEW LONDON
9013,2017,BU,3391183.6,CT,TOLLAND
9013,2012,BU,3871438.792,CT,TOLLAND
9013,2007,BU,4168501.064,CT,TOLLAND
9015,2017,BU,4034166.864,CT,WINDHAM
9015,2012,BU,4375815.1680000005,CT,WINDHAM
9015,2007,BU,4989076.272,CT,WINDHAM
10003,2017,BU,3933062.76,DE,NEW CASTLE
10003,2012,BU,3417174.72,DE,NEW CASTLE
10003,2007,BU,2286288.088,DE,NEW CASTLE
10001,2017,BU,10147798.104,DE,KENT
10001,2012,BU,7165070.032,DE,KENT
10001,2007,BU,6278598.432,DE,KENT
10005,2017,BU,20207845.192,DE,SUSSEX
10005,2012,BU,16581845.768,DE,SUSSEX
10005,2007,BU,12451282.08,DE,SUSSEX
12033,2012,BU,500410.2,FL,ESCAMBIA
12059,2017,BU,325651.064,FL,HOLMES
12059,2007,BU,85818.8,FL,HOLMES
12065,2017,BU,1141599.84,FL,JEFFERSON
12065,2007,BU,613238.92,FL,JEFFERSON
12113,2017,BU,227150.4,FL,SANTA ROSA
12131,2012,BU,28364.088,FL,WALTON
12003,2007,BU,280140.76,FL,BAKER
12023,2017,BU,837431.64,FL,COLUMBIA
12067,2012,BU,967166.84,FL,LAFAYETTE
12121,2017,BU,4043593.624,FL,SUWANNEE
12121,2012,BU,4025861.8,FL,SUWANNEE
12121,2007,BU,3418277.816,FL,SUWANNEE
12123,2017,BU,6786.8,FL,TAYLOR
12001,2012,BU,2010571.088,FL,ALACHUA
12001,2007,BU,1977632.544,FL,ALACHUA
12041,2017,BU,4223419.824,FL,GILCHRIST
12041,2012,BU,3731111.224,FL,GILCHRIST
12041,2007,BU,2383702.376,FL,GILCHRIST
12075,2017,BU,3606985.648,FL,LEVY
12075,2007,BU,2174811.72,FL,LEVY
12099,2007,BU,1133336.256,FL,PALM BEACH
13129,2012,BU,1033864.88,GA,GORDON
13129,2007,BU,273035.48,GA,GORDON
13295,2012,BU,630477.264,GA,WALKER
13139,2017,BU,1255480.184,GA,HALL
13139,2012,BU,766470.408,GA,HALL
13139,2007,BU,198926.336,GA,HALL
13187,2017,BU,223684.896,GA,LUMPKIN
13187,2007,BU,39355.728,GA,LUMPKIN
13291,2012,BU,90283.024,GA,UNION
13291,2007,BU,161681.632,GA,UNION
13311,2012,BU,782679.104,GA,WHITE
13311,2007,BU,582527.3200000001,GA,WHITE
13011,2012,BU,52134.04,GA,BANKS
13011,2007,BU,58784.608,GA,BANKS
13137,2017,BU,743586.528,GA,HABERSHAM
13147,2012,BU,557796.544,GA,HART
13241,2017,BU,18737.648,GA,RABUN
13045,2007,BU,6114.496,GA,CARROLL
13193,2017,BU,6743787.1680000005,GA,MACON
