county_fips_code,year,unit_desc,Value,state_alpha,county_name
1033,2017,$,13024000.0,AL,COLBERT
1033,2012,$,12631000.0,AL,COLBERT
1033,2007,$,5064000.0,AL,COLBERT
1059,2017,$,815000.0,AL,FRANKLIN
1059,2012,$,2488000.0,AL,FRANKLIN
1059,2007,$,120000.0,AL,FRANKLIN
1077,2017,$,9584000.0,AL,LAUDERDALE
1077,2012,$,11942000.0,AL,LAUDERDALE
1077,2007,$,5646000.0,AL,LAUDERDALE
1079,2017,$,16384000.0,AL,LAWRENCE
1079,2012,$,19798000.0,AL,LAWRENCE
1079,2007,$,8577000.0,AL,LAWRENCE
1083,2017,$,13917000.0,AL,LIMESTONE
1083,2012,$,15444000.0,AL,LIMESTONE
1083,2007,$,7857000.0,AL,LIMESTONE
1089,2017,$,15843000.0,AL,MADISON
1089,2012,$,16343000.0,AL,MADISON
1089,2007,$,6880000.0,AL,MADISON
1093,2012,$,572000.0,AL,MARION
1093,2007,$,1379000.0,AL,MARION
1103,2017,$,1550000.0,AL,MORGAN
1103,2012,$,2530000.0,AL,MORGAN
1103,2007,$,1299000.0,AL,MORGAN
1133,2012,$,34000.0,AL,WINSTON
1009,2012,$,831000.0,AL,BLOUNT
1009,2007,$,438000.0,AL,BLOUNT
1015,2017,$,191000.0,AL,CALHOUN
1015,2012,$,877000.0,AL,CALHOUN
1015,2007,$,470000.0,AL,CALHOUN
1019,2017,$,3088000.0,AL,CHEROKEE
1019,2012,$,2850000.0,AL,CHEROKEE
1019,2007,$,640000.0,AL,CHEROKEE
1029,2017,$,340000.0,AL,CLEBURNE
1029,2012,$,218000.0,AL,CLEBURNE
1043,2017,$,2976000.0,AL,CULLMAN
1043,2012,$,2310000.0,AL,CULLMAN
1043,2007,$,321000.0,AL,CULLMAN
1049,2017,$,8296000.0,AL,DE KALB
1049,2012,$,8391000.0,AL,DE KALB
1049,2007,$,3183000.0,AL,DE KALB
1055,2017,$,459000.0,AL,ETOWAH
1055,2007,$,568000.0,AL,ETOWAH
1071,2017,$,12060000.0,AL,JACKSON
1071,2012,$,15881000.0,AL,JACKSON
1071,2007,$,6413000.0,AL,JACKSON
1095,2017,$,2345000.0,AL,MARSHALL
1095,2012,$,1756000.0,AL,MARSHALL
1095,2007,$,1717000.0,AL,MARSHALL
1115,2012,$,62000.0,AL,SAINT CLAIR
1017,2012,$,251000.0,AL,CHAMBERS
1017,2007,$,20000.0,AL,CHAMBERS
1021,2017,$,300000.0,AL,CHILTON
1021,2012,$,87000.0,AL,CHILTON
1021,2007,$,26000.0,AL,CHILTON
1037,2012,$,8000.0,AL,COOSA
1057,2017,$,500000.0,AL,FAYETTE
1057,2012,$,1103000.0,AL,FAYETTE
1057,2007,$,704000.0,AL,FAYETTE
1073,2017,$,56000.0,AL,JEFFERSON
1073,2012,$,23000.0,AL,JEFFERSON
1075,2012,$,364000.0,AL,LAMAR
1075,2007,$,85000.0,AL,LAMAR
1081,2017,$,78000.0,AL,LEE
1081,2007,$,72000.0,AL,LEE
1107,2017,$,2137000.0,AL,PICKENS
1111,2012,$,506000.0,AL,RANDOLPH
1111,2007,$,103000.0,AL,RANDOLPH
1117,2017,$,729000.0,AL,SHELBY
1117,2012,$,619000.0,AL,SHELBY
1117,2007,$,114000.0,AL,SHELBY
1121,2017,$,2247000.0,AL,TALLADEGA
1121,2012,$,6902000.0,AL,TALLADEGA
1121,2007,$,2313000.0,AL,TALLADEGA
1123,2012,$,316000.0,AL,TALLAPOOSA
1125,2017,$,950000.0,AL,TUSCALOOSA
1125,2012,$,2188000.0,AL,TUSCALOOSA
1125,2007,$,943000.0,AL,TUSCALOOSA
1127,2017,$,234000.0,AL,WALKER
1127,2012,$,362000.0,AL,WALKER
1001,2017,$,367000.0,AL,AUTAUGA
1001,2012,$,460000.0,AL,AUTAUGA
1011,2017,$,377000.0,AL,BULLOCK
1011,2007,$,147000.0,AL,BULLOCK
1047,2017,$,7512000.0,AL,DALLAS
1047,2012,$,2898000.0,AL,DALLAS
1047,2007,$,949000.0,AL,DALLAS
1051,2017,$,1745000.0,AL,ELMORE
1051,2012,$,2493000.0,AL,ELMORE
1051,2007,$,608000.0,AL,ELMORE
1063,2017,$,2000.0,AL,GREENE
1063,2007,$,1000.0,AL,GREENE
1065,2012,$,50000.0,AL,HALE
1065,2007,$,688000.0,AL,HALE
1085,2017,$,777000.0,AL,LOWNDES
1085,2012,$,1616000.0,AL,LOWNDES
1087,2012,$,710000.0,AL,MACON
1087,2007,$,554000.0,AL,MACON
1091,2017,$,936000.0,AL,MARENGO
1091,2012,$,636000.0,AL,MARENGO
1091,2007,$,51000.0,AL,MARENGO
1101,2017,$,626000.0,AL,MONTGOMERY
1101,2012,$,2985000.0,AL,MONTGOMERY
1105,2017,$,3769000.0,AL,PERRY
1105,2012,$,1980000.0,AL,PERRY
1105,2007,$,151000.0,AL,PERRY
1119,2017,$,529000.0,AL,SUMTER
1119,2012,$,288000.0,AL,SUMTER
1119,2007,$,133000.0,AL,SUMTER
1003,2017,$,5227000.0,AL,BALDWIN
1003,2012,$,3818000.0,AL,BALDWIN
1003,2007,$,1555000.0,AL,BALDWIN
1013,2017,$,1629000.0,AL,BUTLER
1035,2017,$,629000.0,AL,CONECUH
1035,2012,$,1039000.0,AL,CONECUH
1035,2007,$,149000.0,AL,CONECUH
1053,2017,$,1319000.0,AL,ESCAMBIA
1053,2012,$,1887000.0,AL,ESCAMBIA
1053,2007,$,1782000.0,AL,ESCAMBIA
1099,2017,$,673000.0,AL,MONROE
1099,2012,$,1269000.0,AL,MONROE
1099,2007,$,357000.0,AL,MONROE
1129,2012,$,373000.0,AL,WASHINGTON
1129,2007,$,270000.0,AL,WASHINGTON
1131,2017,$,309000.0,AL,WILCOX
1005,2017,$,828000.0,AL,BARBOUR
1005,2012,$,1324000.0,AL,BARBOUR
1005,2007,$,967000.0,AL,BARBOUR
1031,2017,$,1162000.0,AL,COFFEE
1031,2012,$,1802000.0,AL,COFFEE
1031,2007,$,2145000.0,AL,COFFEE
1039,2017,$,1224000.0,AL,COVINGTON
1039,2012,$,3372000.0,AL,COVINGTON
1039,2007,$,453000.0,AL,COVINGTON
1041,2017,$,672000.0,AL,CRENSHAW
1041,2012,$,1867000.0,AL,CRENSHAW
1041,2007,$,230000.0,AL,CRENSHAW
1045,2017,$,1007000.0,AL,DALE
1045,2012,$,1403000.0,AL,DALE
1045,2007,$,482000.0,AL,DALE
1061,2017,$,2200000.0,AL,GENEVA
1061,2012,$,2677000.0,AL,GENEVA
1061,2007,$,828000.0,AL,GENEVA
1067,2017,$,3664000.0,AL,HENRY
1067,2012,$,2923000.0,AL,HENRY
1067,2007,$,1060000.0,AL,HENRY
1069,2017,$,929000.0,AL,HOUSTON
1069,2012,$,1805000.0,AL,HOUSTON
1069,2007,$,1301000.0,AL,HOUSTON
1109,2017,$,1063000.0,AL,PIKE
1109,2012,$,1047000.0,AL,PIKE
1109,2007,$,551000.0,AL,PIKE
1113,2017,$,650000.0,AL,RUSSELL
1113,2012,$,1475000.0,AL,RUSSELL
1113,2007,$,166000.0,AL,RUSSELL
4017,2017,$,350000.0,AZ,NAVAJO
4017,2007,$,34000.0,AZ,NAVAJO
4025,2017,$,61000.0,AZ,YAVAPAI
4003,2017,$,20803000.0,AZ,COCHISE
4003,2012,$,27027000.0,AZ,COCHISE
4003,2007,$,13302000.0,AZ,COCHISE
4009,2017,$,9590000.0,AZ,GRAHAM
4009,2012,$,9809000.0,AZ,GRAHAM
4009,2007,$,3288000.0,AZ,GRAHAM
4011,2007,$,67000.0,AZ,GREENLEE
4013,2017,$,9346000.0,AZ,MARICOPA
4013,2012,$,14937000.0,AZ,MARICOPA
4013,2007,$,8648000.0,AZ,MARICOPA
4021,2017,$,20474000.0,AZ,PINAL
4021,2012,$,21445000.0,AZ,PINAL
4021,2007,$,11843000.0,AZ,PINAL
5007,2017,$,429000.0,AR,BENTON
5007,2012,$,259000.0,AR,BENTON
5007,2007,$,20000.0,AR,BENTON
5015,2017,$,23000.0,AR,CARROLL
5143,2012,$,204000.0,AR,WASHINGTON
5049,2017,$,333000.0,AR,FULTON
5021,2017,$,18252000.0,AR,CLAY
5021,2012,$,46343000.0,AR,CLAY
5021,2007,$,33478000.0,AR,CLAY
5031,2017,$,22747000.0,AR,CRAIGHEAD
5031,2012,$,38688000.0,AR,CRAIGHEAD
5031,2007,$,16966000.0,AR,CRAIGHEAD
5055,2017,$,15834000.0,AR,GREENE
5055,2012,$,33034000.0,AR,GREENE
