county_fips_code,year,unit_desc,Value,state_alpha,county_name
6021,2016,BU / ACRE,1259.284,CA,GLENN
6021,2008,BU / ACRE,1283.936,CA,GLENN
6021,2007,BU / ACRE,1227.5680000000002,CA,GLENN
6067,2008,BU / ACRE,1061.096,CA,SACRAMENTO
6067,2007,BU / ACRE,1215.3152,CA,SACRAMENTO
6095,2007,BU / ACRE,1258.9728,CA,SOLANO
6115,2008,BU / ACRE,787.36,CA,YUBA
6019,2016,BU / ACRE,1130.516,CA,FRESNO
6019,2011,BU / ACRE,1023.28,CA,FRESNO
6019,2008,BU / ACRE,1169.2,CA,FRESNO
6019,2007,BU / ACRE,1178.884,CA,FRESNO
6029,2021,BU / ACRE,1141.2,CA,KERN
6029,2016,BU / ACRE,1239.42,CA,KERN
6029,2015,BU / ACRE,1106.4,CA,KERN
6029,2012,BU / ACRE,1142.252,CA,KERN
6029,2007,BU / ACRE,1189.8208,CA,KERN
6031,2013,BU / ACRE,1162.332,CA,KINGS
6031,2012,BU / ACRE,1219.536,CA,KINGS
6031,2011,BU / ACRE,1192.316,CA,KINGS
6031,2008,BU / ACRE,1211.884,CA,KINGS
6031,2007,BU / ACRE,1188.9472,CA,KINGS
6039,2007,BU / ACRE,1225.936,CA,MADERA
6047,2016,BU / ACRE,1195.92,CA,MERCED
6047,2015,BU / ACRE,1189.652,CA,MERCED
6047,2013,BU / ACRE,1275.72,CA,MERCED
6047,2012,BU / ACRE,1238.952,CA,MERCED
6047,2011,BU / ACRE,1271.5200000000002,CA,MERCED
6047,2007,BU / ACRE,1219.252,CA,MERCED
6077,2021,BU / ACRE,1402.7240000000002,CA,SAN JOAQUIN
6077,2018,BU / ACRE,1280.572,CA,SAN JOAQUIN
6077,2017,BU / ACRE,1272.604,CA,SAN JOAQUIN
6077,2016,BU / ACRE,1303.188,CA,SAN JOAQUIN
6077,2015,BU / ACRE,1181.268,CA,SAN JOAQUIN
6077,2013,BU / ACRE,1285.404,CA,SAN JOAQUIN
6077,2012,BU / ACRE,1311.072,CA,SAN JOAQUIN
6077,2011,BU / ACRE,1280.404,CA,SAN JOAQUIN
6077,2010,BU / ACRE,1312.388,CA,SAN JOAQUIN
6077,2008,BU / ACRE,1332.672,CA,SAN JOAQUIN
6077,2007,BU / ACRE,1230.3360000000002,CA,SAN JOAQUIN
6099,2018,BU / ACRE,1271.988,CA,STANISLAUS
6099,2014,BU / ACRE,1266.672,CA,STANISLAUS
6099,2012,BU / ACRE,1272.972,CA,STANISLAUS
6099,2011,BU / ACRE,1189.436,CA,STANISLAUS
6099,2007,BU / ACRE,1236.936,CA,STANISLAUS
6107,2013,BU / ACRE,1350.188,CA,TULARE
6107,2012,BU / ACRE,1255.8680000000002,CA,TULARE
6107,2011,BU / ACRE,1267.652,CA,TULARE
6107,2007,BU / ACRE,1260.8096,CA,TULARE
6071,2007,BU / ACRE,984.2,CA,SAN BERNARDINO
8069,2008,BU / ACRE,1028.464,CO,LARIMER
8069,2007,BU / ACRE,1055.464,CO,LARIMER
8075,2008,BU / ACRE,925.36,CO,LOGAN
8075,2007,BU / ACRE,790.572,CO,LOGAN
8087,2007,BU / ACRE,1043.7800000000002,CO,MORGAN
8115,2007,BU / ACRE,957.86,CO,SEDGWICK
8123,2008,BU / ACRE,1132.516,CO,WELD
8123,2007,BU / ACRE,1116.016,CO,WELD
8001,2007,BU / ACRE,823.9920000000001,CO,ADAMS
8017,2008,BU / ACRE,584.1,CO,CHEYENNE
8017,2007,BU / ACRE,615.2840000000001,CO,CHEYENNE
8039,2007,BU / ACRE,453.68,CO,ELBERT
8063,2008,BU / ACRE,611.7840000000001,CO,KIT CARSON
8063,2007,BU / ACRE,813.94,CO,KIT CARSON
8095,2008,BU / ACRE,494.5016,CO,PHILLIPS
8121,2007,BU / ACRE,598.6,CO,WASHINGTON
8125,2008,BU / ACRE,1165.2,CO,YUMA
8125,2007,BU / ACRE,1216.5680000000002,CO,YUMA
8029,2007,BU / ACRE,1005.412,CO,DELTA
8077,2007,BU / ACRE,1035.2800000000002,CO,MESA
8085,2007,BU / ACRE,1130.016,CO,MONTROSE
8009,2008,BU / ACRE,462.312,CO,BACA
8009,2007,BU / ACRE,545.548,CO,BACA
8011,2008,BU / ACRE,837.94,CO,BENT
8011,2007,BU / ACRE,718.152,CO,BENT
8089,2007,BU / ACRE,1129.332,CO,OTERO
8099,2007,BU / ACRE,957.912,CO,PROWERS
8101,2008,BU / ACRE,1178.516,CO,PUEBLO
8101,2007,BU / ACRE,1296.304,CO,PUEBLO
10003,2008,BU / ACRE,573.416,DE,NEW CASTLE
10003,2007,BU / ACRE,547.9744000000001,DE,NEW CASTLE
10001,2008,BU / ACRE,662.152,DE,KENT
10001,2007,BU / ACRE,499.6904,DE,KENT
10005,2008,BU / ACRE,629.1,DE,SUSSEX
10005,2007,BU / ACRE,482.2064,DE,SUSSEX
16001,2009,BU / ACRE,1317.472,ID,ADA
16001,2008,BU / ACRE,1241.936,ID,ADA
16001,2007,BU / ACRE,1342.9088000000002,ID,ADA
16027,2009,BU / ACRE,1397.324,ID,CANYON
16027,2008,BU / ACRE,1307.988,ID,CANYON
16027,2007,BU / ACRE,1265.0464,ID,CANYON
16039,2009,BU / ACRE,1282.62,ID,ELMORE
16039,2007,BU / ACRE,1351.34,ID,ELMORE
16045,2008,BU / ACRE,1171.884,ID,GEM
16045,2007,BU / ACRE,1193.1312,ID,GEM
16073,2009,BU / ACRE,1418.908,ID,OWYHEE
16073,2008,BU / ACRE,1280.304,ID,OWYHEE
16073,2007,BU / ACRE,1318.2248,ID,OWYHEE
16075,2009,BU / ACRE,1320.2040000000002,ID,PAYETTE
16075,2008,BU / ACRE,1296.304,ID,PAYETTE
16075,2007,BU / ACRE,1228.1888,ID,PAYETTE
16087,2008,BU / ACRE,1358.04,ID,WASHINGTON
16087,2007,BU / ACRE,1297.372,ID,WASHINGTON
16047,2009,BU / ACRE,1307.672,ID,GOODING
16047,2007,BU / ACRE,1337.7664,ID,GOODING
16053,2008,BU / ACRE,1221.62,ID,JEROME
16053,2007,BU / ACRE,1240.4464,ID,JEROME
16063,2008,BU / ACRE,1271.304,ID,LINCOLN
16067,2007,BU / ACRE,1242.92,ID,MINIDOKA
16083,2007,BU / ACRE,1181.0944000000002,ID,TWIN FALLS
19021,2011,BU / ACRE,1046.296,IA,BUENA VISTA
19035,2020,BU / ACRE,1012.428,IA,CHEROKEE
19035,2007,BU / ACRE,910.5552,IA,CHEROKEE
19041,2021,BU / ACRE,971.876,IA,CLAY
19041,2020,BU / ACRE,955.46,IA,CLAY
19041,2019,BU / ACRE,756.336,IA,CLAY
19041,2015,BU / ACRE,1265.736,IA,CLAY
19041,2013,BU / ACRE,738.0360000000001,IA,CLAY
19041,2007,BU / ACRE,899.7816,IA,CLAY
19059,2021,BU / ACRE,887.124,IA,DICKINSON
19059,2012,BU / ACRE,849.84,IA,DICKINSON
19059,2011,BU / ACRE,700.768,IA,DICKINSON
19063,2020,BU / ACRE,914.408,IA,EMMET
19063,2011,BU / ACRE,1114.432,IA,EMMET
19119,2021,BU / ACRE,1181.9160000000002,IA,LYON
19119,2020,BU / ACRE,1063.096,IA,LYON
19119,2007,BU / ACRE,954.9968,IA,LYON
19141,2020,BU / ACRE,1045.912,IA,O BRIEN
19141,2012,BU / ACRE,947.16,IA,O BRIEN
19141,2007,BU / ACRE,974.744,IA,O BRIEN
19143,2007,BU / ACRE,1006.0016,IA,OSCEOLA
19147,2020,BU / ACRE,948.776,IA,PALO ALTO
19147,2007,BU / ACRE,926.6656,IA,PALO ALTO
19149,2007,BU / ACRE,835.8032000000001,IA,PLYMOUTH
19151,2020,BU / ACRE,1032.612,IA,POCAHONTAS
19167,2021,BU / ACRE,1087.796,IA,SIOUX
19167,2020,BU / ACRE,1087.5800000000002,IA,SIOUX
19167,2011,BU / ACRE,964.96,IA,SIOUX
19167,2007,BU / ACRE,853.7136,IA,SIOUX
19023,2020,BU / ACRE,862.056,IA,BUTLER
19023,2007,BU / ACRE,1010.8016,IA,BUTLER
19033,2020,BU / ACRE,1068.2800000000002,IA,CERRO GORDO
19033,2007,BU / ACRE,897.5711999999999,IA,CERRO GORDO
19067,2021,BU / ACRE,895.0400000000001,IA,FLOYD
19067,2020,BU / ACRE,955.076,IA,FLOYD
19067,2007,BU / ACRE,961.3968,IA,FLOYD
19069,2007,BU / ACRE,995.4544,IA,FRANKLIN
19081,2017,BU / ACRE,830.088,IA,HANCOCK
19081,2015,BU / ACRE,1086.98,IA,HANCOCK
19081,2011,BU / ACRE,986.844,IA,HANCOCK
19081,2007,BU / ACRE,962.0232,IA,HANCOCK
19091,2020,BU / ACRE,995.444,IA,HUMBOLDT
19091,2011,BU / ACRE,1169.7,IA,HUMBOLDT
19109,2020,BU / ACRE,1037.112,IA,KOSSUTH
19109,2007,BU / ACRE,1025.012,IA,KOSSUTH
19131,2020,BU / ACRE,1010.344,IA,MITCHELL
19131,2007,BU / ACRE,969.4336,IA,MITCHELL
19189,2021,BU / ACRE,1104.064,IA,WINNEBAGO
19189,2019,BU / ACRE,927.108,IA,WINNEBAGO
19189,2018,BU / ACRE,830.3720000000001,IA,WINNEBAGO
19189,2013,BU / ACRE,660.884,IA,WINNEBAGO
19189,2011,BU / ACRE,1141.116,IA,WINNEBAGO
19195,2020,BU / ACRE,993.06,IA,WORTH
19195,2007,BU / ACRE,899.1712,IA,WORTH
19005,2021,BU / ACRE,1085.18,IA,ALLAMAKEE
19005,2020,BU / ACRE,1062.396,IA,ALLAMAKEE
19005,2016,BU / ACRE,1208.984,IA,ALLAMAKEE
19005,2014,BU / ACRE,1159.8,IA,ALLAMAKEE
19005,2008,BU / ACRE,1016.412,IA,ALLAMAKEE
19005,2007,BU / ACRE,942.6496,IA,ALLAMAKEE
19013,2020,BU / ACRE,701.268,IA,BLACK HAWK
19017,2021,BU / ACRE,1106.564,IA,BREMER
19017,2020,BU / ACRE,994.644,IA,BREMER
19017,2011,BU / ACRE,1298.804,IA,BREMER
19019,2020,BU / ACRE,975.66,IA,BUCHANAN
19019,2007,BU / ACRE,961.26,IA,BUCHANAN
19037,2020,BU / ACRE,894.3240000000001,IA,CHICKASAW
19037,2011,BU / ACRE,1232.052,IA,CHICKASAW
19037,2007,BU / ACRE,964.0336,IA,CHICKASAW
19043,2020,BU / ACRE,1116.248,IA,CLAYTON
19043,2008,BU / ACRE,918.992,IA,CLAYTON
19043,2007,BU / ACRE,929.4656,IA,CLAYTON
19055,2021,BU / ACRE,1065.412,IA,DELAWARE
19055,2020,BU / ACRE,1076.18,IA,DELAWARE
19055,2008,BU / ACRE,906.992,IA,DELAWARE
19055,2007,BU / ACRE,967.16,IA,DELAWARE
19061,2020,BU / ACRE,1063.196,IA,DUBUQUE
19061,2008,BU / ACRE,965.044,IA,DUBUQUE
19061,2007,BU / ACRE,1000.8544,IA,DUBUQUE
