county_fips_code,year,unit_desc,Value,state_alpha,county_name
1043,2007,CWT,6000.0,AL,CULLMAN
1003,2007,CWT,97950.0,AL,BALDWIN
4013,2008,CWT,400000.0,AZ,MARICOPA
8125,2007,CWT,650000.0,CO,YUMA
8003,2018,CWT,6365000.0,CO,ALAMOSA
8003,2016,CWT,6615000.0,CO,ALAMOSA
8003,2015,CWT,6945000.0,CO,ALAMOSA
8003,2014,CWT,6900000.0,CO,ALAMOSA
8003,2013,CWT,6140000.0,CO,ALAMOSA
8003,2012,CWT,6365000.0,CO,ALAMOSA
8003,2011,CWT,7000000.0,CO,ALAMOSA
8003,2010,CWT,7505000.0,CO,ALAMOSA
8003,2009,CWT,6690000.0,CO,ALAMOSA
8003,2008,CWT,7025000.0,CO,ALAMOSA
8003,2007,CWT,6830000.0,CO,ALAMOSA
8023,2014,CWT,1440000.0,CO,COSTILLA
8105,2018,CWT,6284000.0,CO,RIO GRANDE
8105,2017,CWT,6054000.0,CO,RIO GRANDE
8105,2016,CWT,5823000.0,CO,RIO GRANDE
8105,2015,CWT,5935000.0,CO,RIO GRANDE
8105,2013,CWT,5160000.0,CO,RIO GRANDE
8105,2012,CWT,5970000.0,CO,RIO GRANDE
8105,2011,CWT,6350000.0,CO,RIO GRANDE
8105,2010,CWT,6640000.0,CO,RIO GRANDE
8105,2009,CWT,7290000.0,CO,RIO GRANDE
8105,2008,CWT,7100000.0,CO,RIO GRANDE
8105,2007,CWT,7130000.0,CO,RIO GRANDE
8109,2018,CWT,5995000.0,CO,SAGUACHE
8109,2016,CWT,6170000.0,CO,SAGUACHE
8109,2015,CWT,5840000.0,CO,SAGUACHE
8109,2014,CWT,5970000.0,CO,SAGUACHE
8109,2013,CWT,5242000.0,CO,SAGUACHE
8109,2012,CWT,5700000.0,CO,SAGUACHE
8109,2011,CWT,5750000.0,CO,SAGUACHE
8109,2010,CWT,5560000.0,CO,SAGUACHE
8109,2009,CWT,6030000.0,CO,SAGUACHE
8109,2008,CWT,5755000.0,CO,SAGUACHE
8109,2007,CWT,5215000.0,CO,SAGUACHE
16027,2011,CWT,3100000.0,ID,CANYON
16027,2010,CWT,3270000.0,ID,CANYON
16027,2009,CWT,3040000.0,ID,CANYON
16027,2008,CWT,2960000.0,ID,CANYON
16027,2007,CWT,3820000.0,ID,CANYON
16039,2011,CWT,3150000.0,ID,ELMORE
16039,2010,CWT,3050000.0,ID,ELMORE
16039,2009,CWT,3540000.0,ID,ELMORE
16039,2008,CWT,3830000.0,ID,ELMORE
16039,2007,CWT,4650000.0,ID,ELMORE
16073,2011,CWT,2450000.0,ID,OWYHEE
16073,2010,CWT,1320000.0,ID,OWYHEE
16073,2009,CWT,2210000.0,ID,OWYHEE
16073,2008,CWT,985000.0,ID,OWYHEE
16073,2007,CWT,1040000.0,ID,OWYHEE
16075,2007,CWT,445000.0,ID,PAYETTE
16031,2017,CWT,10900000.0,ID,CASSIA
16031,2012,CWT,12500000.0,ID,CASSIA
16031,2011,CWT,11250000.0,ID,CASSIA
16031,2010,CWT,9600000.0,ID,CASSIA
16031,2009,CWT,12200000.0,ID,CASSIA
16031,2008,CWT,12450000.0,ID,CASSIA
16031,2007,CWT,12730000.0,ID,CASSIA
16047,2012,CWT,2925000.0,ID,GOODING
16047,2009,CWT,2720000.0,ID,GOODING
16047,2008,CWT,2650000.0,ID,GOODING
16047,2007,CWT,2860000.0,ID,GOODING
16053,2012,CWT,5250000.0,ID,JEROME
16053,2011,CWT,4860000.0,ID,JEROME
16053,2010,CWT,4410000.0,ID,JEROME
16053,2009,CWT,5040000.0,ID,JEROME
