county_fips_code,year,unit_desc,Value,state_alpha,county_name
1043,2007,CWT / ACRE,100.0,AL,CULLMAN
1003,2007,CWT / ACRE,248.0,AL,BALDWIN
4013,2008,CWT / ACRE,286.0,AZ,MARICOPA
8125,2007,CWT / ACRE,380.0,CO,YUMA
8003,2018,CWT / ACRE,386.0,CO,ALAMOSA
8003,2016,CWT / ACRE,394.0,CO,ALAMOSA
8003,2015,CWT / ACRE,386.0,CO,ALAMOSA
8003,2014,CWT / ACRE,379.0,CO,ALAMOSA
8003,2013,CWT / ACRE,365.0,CO,ALAMOSA
8003,2012,CWT / ACRE,358.0,CO,ALAMOSA
8003,2011,CWT / ACRE,385.0,CO,ALAMOSA
8003,2010,CWT / ACRE,393.0,CO,ALAMOSA
8003,2009,CWT / ACRE,382.0,CO,ALAMOSA
8003,2008,CWT / ACRE,382.0,CO,ALAMOSA
8003,2007,CWT / ACRE,365.0,CO,ALAMOSA
8023,2014,CWT / ACRE,424.0,CO,COSTILLA
8105,2018,CWT / ACRE,393.0,CO,RIO GRANDE
8105,2017,CWT / ACRE,383.0,CO,RIO GRANDE
8105,2016,CWT / ACRE,378.0,CO,RIO GRANDE
8105,2015,CWT / ACRE,385.0,CO,RIO GRANDE
8105,2013,CWT / ACRE,335.0,CO,RIO GRANDE
8105,2012,CWT / ACRE,380.0,CO,RIO GRANDE
8105,2011,CWT / ACRE,402.0,CO,RIO GRANDE
8105,2010,CWT / ACRE,393.0,CO,RIO GRANDE
8105,2009,CWT / ACRE,407.0,CO,RIO GRANDE
8105,2008,CWT / ACRE,399.0,CO,RIO GRANDE
8105,2007,CWT / ACRE,355.0,CO,RIO GRANDE
8109,2018,CWT / ACRE,389.0,CO,SAGUACHE
8109,2016,CWT / ACRE,403.0,CO,SAGUACHE
8109,2015,CWT / ACRE,387.0,CO,SAGUACHE
8109,2014,CWT / ACRE,395.0,CO,SAGUACHE
8109,2013,CWT / ACRE,394.0,CO,SAGUACHE
8109,2012,CWT / ACRE,380.0,CO,SAGUACHE
8109,2011,CWT / ACRE,394.0,CO,SAGUACHE
8109,2010,CWT / ACRE,383.0,CO,SAGUACHE
8109,2009,CWT / ACRE,422.0,CO,SAGUACHE
8109,2008,CWT / ACRE,389.0,CO,SAGUACHE
8109,2007,CWT / ACRE,345.0,CO,SAGUACHE
16027,2011,CWT / ACRE,534.0,ID,CANYON
16027,2010,CWT / ACRE,554.0,ID,CANYON
16027,2009,CWT / ACRE,490.0,ID,CANYON
16027,2008,CWT / ACRE,569.0,ID,CANYON
16027,2007,CWT / ACRE,496.0,ID,CANYON
16039,2011,CWT / ACRE,563.0,ID,ELMORE
16039,2010,CWT / ACRE,565.0,ID,ELMORE
16039,2009,CWT / ACRE,499.0,ID,ELMORE
16039,2008,CWT / ACRE,525.0,ID,ELMORE
16039,2007,CWT / ACRE,489.0,ID,ELMORE
16073,2011,CWT / ACRE,533.0,ID,OWYHEE
16073,2010,CWT / ACRE,528.0,ID,OWYHEE
16073,2009,CWT / ACRE,526.0,ID,OWYHEE
16073,2008,CWT / ACRE,518.0,ID,OWYHEE
16073,2007,CWT / ACRE,495.0,ID,OWYHEE
16075,2007,CWT / ACRE,445.0,ID,PAYETTE
16031,2017,CWT / ACRE,464.0,ID,CASSIA
16031,2012,CWT / ACRE,463.0,ID,CASSIA
16031,2011,CWT / ACRE,448.0,ID,CASSIA
16031,2010,CWT / ACRE,427.0,ID,CASSIA
16031,2009,CWT / ACRE,484.0,ID,CASSIA
16031,2008,CWT / ACRE,459.0,ID,CASSIA
16031,2007,CWT / ACRE,426.0,ID,CASSIA
16047,2012,CWT / ACRE,430.0,ID,GOODING
16047,2009,CWT / ACRE,469.0,ID,GOODING
16047,2008,CWT / ACRE,500.0,ID,GOODING
16047,2007,CWT / ACRE,447.0,ID,GOODING
16053,2012,CWT / ACRE,453.0,ID,JEROME
16053,2011,CWT / ACRE,430.0,ID,JEROME
16053,2010,CWT / ACRE,437.0,ID,JEROME
16053,2009,CWT / ACRE,489.0,ID,JEROME
16053,2008,CWT / ACRE,449.0,ID,JEROME
16053,2007,CWT / ACRE,431.0,ID,JEROME
16067,2013,CWT / ACRE,443.0,ID,MINIDOKA
16067,2011,CWT / ACRE,406.0,ID,MINIDOKA
16067,2010,CWT / ACRE,413.0,ID,MINIDOKA
16067,2009,CWT / ACRE,453.0,ID,MINIDOKA
16067,2008,CWT / ACRE,421.0,ID,MINIDOKA
16067,2007,CWT / ACRE,390.0,ID,MINIDOKA
16083,2017,CWT / ACRE,519.0,ID,TWIN FALLS
16083,2011,CWT / ACRE,465.0,ID,TWIN FALLS
16083,2010,CWT / ACRE,492.0,ID,TWIN FALLS
16083,2009,CWT / ACRE,500.0,ID,TWIN FALLS
16083,2008,CWT / ACRE,437.0,ID,TWIN FALLS
16083,2007,CWT / ACRE,432.0,ID,TWIN FALLS
16005,2014,CWT / ACRE,412.0,ID,BANNOCK
16005,2012,CWT / ACRE,400.0,ID,BANNOCK
16005,2010,CWT / ACRE,367.0,ID,BANNOCK
16005,2009,CWT / ACRE,409.0,ID,BANNOCK
16005,2008,CWT / ACRE,386.0,ID,BANNOCK
16005,2007,CWT / ACRE,372.0,ID,BANNOCK
16011,2018,CWT / ACRE,425.0,ID,BINGHAM
16011,2017,CWT / ACRE,422.0,ID,BINGHAM
16011,2016,CWT / ACRE,409.0,ID,BINGHAM
16011,2015,CWT / ACRE,391.0,ID,BINGHAM
16011,2014,CWT / ACRE,400.0,ID,BINGHAM
16011,2013,CWT / ACRE,395.0,ID,BINGHAM
16011,2012,CWT / ACRE,406.0,ID,BINGHAM
16011,2011,CWT / ACRE,384.0,ID,BINGHAM
16011,2010,CWT / ACRE,367.0,ID,BINGHAM
16011,2009,CWT / ACRE,385.0,ID,BINGHAM
16011,2008,CWT / ACRE,367.0,ID,BINGHAM
16011,2007,CWT / ACRE,346.0,ID,BINGHAM
16019,2014,CWT / ACRE,381.0,ID,BONNEVILLE
16019,2013,CWT / ACRE,359.0,ID,BONNEVILLE
16019,2012,CWT / ACRE,360.0,ID,BONNEVILLE
16019,2011,CWT / ACRE,370.0,ID,BONNEVILLE
16019,2010,CWT / ACRE,355.0,ID,BONNEVILLE
16019,2009,CWT / ACRE,373.0,ID,BONNEVILLE
16019,2008,CWT / ACRE,330.0,ID,BONNEVILLE
16019,2007,CWT / ACRE,278.0,ID,BONNEVILLE
16029,2017,CWT / ACRE,356.0,ID,CARIBOU
16029,2014,CWT / ACRE,296.0,ID,CARIBOU
16029,2013,CWT / ACRE,313.0,ID,CARIBOU
16029,2012,CWT / ACRE,290.0,ID,CARIBOU
16029,2011,CWT / ACRE,295.0,ID,CARIBOU
16029,2010,CWT / ACRE,277.0,ID,CARIBOU
16029,2009,CWT / ACRE,297.0,ID,CARIBOU
