county_fips_code,year,unit_desc,Value,state_alpha,county_name
1033,2020,BU / ACRE,42.2,AL,COLBERT
1033,2019,BU / ACRE,38.7,AL,COLBERT
1033,2018,BU / ACRE,36.1,AL,COLBERT
1033,2017,BU / ACRE,48.2,AL,COLBERT
1033,2016,BU / ACRE,31.2,AL,COLBERT
1033,2015,BU / ACRE,44.1,AL,COLBERT
1033,2014,BU / ACRE,44.0,AL,COLBERT
1033,2013,BU / ACRE,44.2,AL,COLBERT
1033,2012,BU / ACRE,44.0,AL,COLBERT
1033,2011,BU / ACRE,40.0,AL,COLBERT
1033,2010,BU / ACRE,30.6,AL,COLBERT
1033,2009,BU / ACRE,44.5,AL,COLBERT
1033,2007,BU / ACRE,21.0,AL,COLBERT
1059,2020,BU / ACRE,38.8,AL,FRANKLIN
1059,2019,BU / ACRE,37.7,AL,FRANKLIN
1059,2018,BU / ACRE,37.5,AL,FRANKLIN
1059,2017,BU / ACRE,41.9,AL,FRANKLIN
1059,2016,BU / ACRE,39.3,AL,FRANKLIN
1059,2014,BU / ACRE,47.8,AL,FRANKLIN
1059,2013,BU / ACRE,42.5,AL,FRANKLIN
1059,2011,BU / ACRE,40.0,AL,FRANKLIN
1059,2010,BU / ACRE,21.7,AL,FRANKLIN
1077,2021,BU / ACRE,47.2,AL,LAUDERDALE
1077,2020,BU / ACRE,39.6,AL,LAUDERDALE
1077,2019,BU / ACRE,38.6,AL,LAUDERDALE
1077,2018,BU / ACRE,35.4,AL,LAUDERDALE
1077,2017,BU / ACRE,46.3,AL,LAUDERDALE
1077,2016,BU / ACRE,29.9,AL,LAUDERDALE
1077,2015,BU / ACRE,46.5,AL,LAUDERDALE
1077,2014,BU / ACRE,37.5,AL,LAUDERDALE
1077,2013,BU / ACRE,40.1,AL,LAUDERDALE
1077,2012,BU / ACRE,46.4,AL,LAUDERDALE
1077,2011,BU / ACRE,31.0,AL,LAUDERDALE
1077,2010,BU / ACRE,24.5,AL,LAUDERDALE
1077,2009,BU / ACRE,39.5,AL,LAUDERDALE
1077,2008,BU / ACRE,26.5,AL,LAUDERDALE
1077,2007,BU / ACRE,18.0,AL,LAUDERDALE
1079,2021,BU / ACRE,51.5,AL,LAWRENCE
1079,2020,BU / ACRE,43.4,AL,LAWRENCE
1079,2019,BU / ACRE,39.3,AL,LAWRENCE
1079,2018,BU / ACRE,39.4,AL,LAWRENCE
1079,2017,BU / ACRE,54.3,AL,LAWRENCE
1079,2016,BU / ACRE,33.0,AL,LAWRENCE
1079,2015,BU / ACRE,42.6,AL,LAWRENCE
1079,2014,BU / ACRE,43.3,AL,LAWRENCE
