county_fips_code,year,unit_desc,Value,state_alpha,county_name
1033,2017,BU,1620271.0,AL,COLBERT
1033,2012,BU,1112828.0,AL,COLBERT
1033,2007,BU,22639.0,AL,COLBERT
1059,2017,BU,29509.0,AL,FRANKLIN
1059,2012,BU,45218.0,AL,FRANKLIN
1077,2017,BU,593775.0,AL,LAUDERDALE
1077,2012,BU,856751.0,AL,LAUDERDALE
1077,2007,BU,156624.0,AL,LAUDERDALE
1079,2017,BU,1093973.0,AL,LAWRENCE
1079,2012,BU,1057844.0,AL,LAWRENCE
1079,2007,BU,70426.0,AL,LAWRENCE
1083,2017,BU,1921986.0,AL,LIMESTONE
1083,2012,BU,1977674.0,AL,LIMESTONE
1083,2007,BU,352683.0,AL,LIMESTONE
1089,2017,BU,1444265.0,AL,MADISON
1089,2012,BU,1118941.0,AL,MADISON
1089,2007,BU,464362.0,AL,MADISON
1103,2017,BU,66200.0,AL,MORGAN
1103,2012,BU,230490.0,AL,MORGAN
1103,2007,BU,88422.0,AL,MORGAN
1009,2012,BU,7400.0,AL,BLOUNT
1015,2012,BU,34600.0,AL,CALHOUN
1015,2007,BU,25135.0,AL,CALHOUN
1019,2017,BU,65796.0,AL,CHEROKEE
1019,2012,BU,340717.0,AL,CHEROKEE
1019,2007,BU,69618.0,AL,CHEROKEE
1043,2017,BU,53735.0,AL,CULLMAN
1043,2012,BU,63730.0,AL,CULLMAN
1043,2007,BU,17630.0,AL,CULLMAN
1049,2017,BU,21781.0,AL,DE KALB
1049,2012,BU,128387.0,AL,DE KALB
1049,2007,BU,80916.0,AL,DE KALB
1055,2007,BU,4435.0,AL,ETOWAH
1071,2017,BU,220562.0,AL,JACKSON
1071,2012,BU,224703.0,AL,JACKSON
1071,2007,BU,75771.0,AL,JACKSON
1095,2012,BU,24308.0,AL,MARSHALL
1095,2007,BU,59487.0,AL,MARSHALL
1017,2012,BU,5950.0,AL,CHAMBERS
1017,2007,BU,6500.0,AL,CHAMBERS
1021,2012,BU,20813.0,AL,CHILTON
1057,2017,BU,3500.0,AL,FAYETTE
1057,2007,BU,3536.0,AL,FAYETTE
1081,2012,BU,16176.0,AL,LEE
1107,2012,BU,63396.0,AL,PICKENS
1111,2012,BU,7400.0,AL,RANDOLPH
1117,2017,BU,38550.0,AL,SHELBY
1117,2012,BU,58627.0,AL,SHELBY
1121,2012,BU,40560.0,AL,TALLADEGA
1121,2007,BU,66302.0,AL,TALLADEGA
1125,2017,BU,10450.0,AL,TUSCALOOSA
1125,2012,BU,75626.0,AL,TUSCALOOSA
1125,2007,BU,26977.0,AL,TUSCALOOSA
1001,2017,BU,20485.0,AL,AUTAUGA
1001,2012,BU,113862.0,AL,AUTAUGA
1001,2007,BU,85906.0,AL,AUTAUGA
1011,2012,BU,41747.0,AL,BULLOCK
1047,2012,BU,294058.0,AL,DALLAS
