county_fips_code,year,unit_desc,Value,state_alpha,county_name
1077,2007,BU / ACRE,37,AL,LAUDERDALE
1083,2007,BU / ACRE,30,AL,LIMESTONE
1089,2007,BU / ACRE,40,AL,MADISON
1049,2007,BU / ACRE,41,AL,DE KALB
1071,2007,BU / ACRE,36,AL,JACKSON
1003,2007,BU / ACRE,54,AL,BALDWIN
1053,2007,BU / ACRE,53,AL,ESCAMBIA
1067,2007,BU / ACRE,46,AL,HENRY
1069,2007,BU / ACRE,42,AL,HOUSTON
5021,2007,BU / ACRE,35,AR,CLAY
5031,2007,BU / ACRE,43,AR,CRAIGHEAD
5055,2007,BU / ACRE,24,AR,GREENE
5063,2007,BU / ACRE,28,AR,INDEPENDENCE
5067,2007,BU / ACRE,33,AR,JACKSON
5075,2007,BU / ACRE,35,AR,LAWRENCE
5093,2007,BU / ACRE,50,AR,MISSISSIPPI
5111,2007,BU / ACRE,42,AR,POINSETT
5121,2007,BU / ACRE,28,AR,RANDOLPH
5145,2007,BU / ACRE,28,AR,WHITE
5033,2007,BU / ACRE,22,AR,CRAWFORD
5149,2007,BU / ACRE,35,AR,YELL
5029,2007,BU / ACRE,32,AR,CONWAY
5119,2007,BU / ACRE,39,AR,PULASKI
5001,2007,BU / ACRE,37,AR,ARKANSAS
5035,2007,BU / ACRE,36,AR,CRITTENDEN
5037,2007,BU / ACRE,35,AR,CROSS
5077,2007,BU / ACRE,45,AR,LEE
5085,2007,BU / ACRE,44,AR,LONOKE
5095,2007,BU / ACRE,36,AR,MONROE
5107,2007,BU / ACRE,43,AR,PHILLIPS
5117,2007,BU / ACRE,43,AR,PRAIRIE
5123,2007,BU / ACRE,37,AR,SAINT FRANCIS
5147,2007,BU / ACRE,33,AR,WOODRUFF
5073,2007,BU / ACRE,53,AR,LAFAYETTE
5081,2007,BU / ACRE,49,AR,LITTLE RIVER
5091,2007,BU / ACRE,50,AR,MILLER
5003,2007,BU / ACRE,57,AR,ASHLEY
5017,2007,BU / ACRE,58,AR,CHICOT
5041,2007,BU / ACRE,54,AR,DESHA
5043,2007,BU / ACRE,47,AR,DREW
5069,2007,BU / ACRE,50,AR,JEFFERSON
5079,2007,BU / ACRE,50,AR,LINCOLN
6093,2007,BU / ACRE,90.7,CA,SISKIYOU
6035,2007,BU / ACRE,50,CA,LASSEN
6049,2007,BU / ACRE,98.8,CA,MODOC
6013,2007,BU / ACRE,58.9,CA,CONTRA COSTA
6053,2007,BU / ACRE,78,CA,MONTEREY
6079,2007,BU / ACRE,76,CA,SAN LUIS OBISPO
6007,2007,BU / ACRE,70,CA,BUTTE
6011,2007,BU / ACRE,82.8,CA,COLUSA
6021,2007,BU / ACRE,95.1,CA,GLENN
6067,2007,BU / ACRE,84,CA,SACRAMENTO
6095,2007,BU / ACRE,65.7,CA,SOLANO
6101,2007,BU / ACRE,83,CA,SUTTER
6103,2007,BU / ACRE,105,CA,TEHAMA
6113,2007,BU / ACRE,76.7,CA,YOLO
6115,2007,BU / ACRE,91.7,CA,YUBA
6019,2007,BU / ACRE,92.2,CA,FRESNO
6029,2007,BU / ACRE,90.6,CA,KERN
6031,2007,BU / ACRE,78.2,CA,KINGS
6039,2007,BU / ACRE,88.1,CA,MADERA
6047,2007,BU / ACRE,85.3,CA,MERCED
6077,2007,BU / ACRE,89,CA,SAN JOAQUIN
6099,2007,BU / ACRE,72.7,CA,STANISLAUS
6107,2007,BU / ACRE,79.5,CA,TULARE
6025,2007,BU / ACRE,106.7,CA,IMPERIAL
6065,2007,BU / ACRE,50,CA,RIVERSIDE
6083,2007,BU / ACRE,98.4,CA,SANTA BARBARA
8081,2007,BU / ACRE,15.5,CO,MOFFAT
8103,2007,BU / ACRE,14,CO,RIO BLANCO
8107,2007,BU / ACRE,23.5,CO,ROUTT
8013,2007,BU / ACRE,44,CO,BOULDER
8014,2007,BU / ACRE,23.5,CO,BROOMFIELD
8069,2007,BU / ACRE,44,CO,LARIMER
8075,2007,BU / ACRE,34,CO,LOGAN
8087,2007,BU / ACRE,45.5,CO,MORGAN
8115,2007,BU / ACRE,40,CO,SEDGWICK
8123,2007,BU / ACRE,34.5,CO,WELD
8001,2007,BU / ACRE,34,CO,ADAMS
8005,2007,BU / ACRE,36.5,CO,ARAPAHOE
8017,2007,BU / ACRE,35,CO,CHEYENNE
8031,2007,BU / ACRE,22,CO,DENVER
8035,2007,BU / ACRE,34.5,CO,DOUGLAS
8039,2007,BU / ACRE,35,CO,ELBERT
8041,2007,BU / ACRE,34,CO,EL PASO
8061,2007,BU / ACRE,44,CO,KIOWA
8063,2007,BU / ACRE,42.5,CO,KIT CARSON
8073,2007,BU / ACRE,32,CO,LINCOLN
8095,2007,BU / ACRE,42.5,CO,PHILLIPS
8121,2007,BU / ACRE,38,CO,WASHINGTON
8125,2007,BU / ACRE,46.5,CO,YUMA
8029,2007,BU / ACRE,100,CO,DELTA
8033,2007,BU / ACRE,19,CO,DOLORES
8045,2007,BU / ACRE,50,CO,GARFIELD
8067,2007,BU / ACRE,18.5,CO,LA PLATA
8077,2007,BU / ACRE,116.5,CO,MESA
8083,2007,BU / ACRE,23.5,CO,MONTEZUMA
8085,2007,BU / ACRE,85,CO,MONTROSE
8113,2007,BU / ACRE,45,CO,SAN MIGUEL
8003,2007,BU / ACRE,101,CO,ALAMOSA
8021,2007,BU / ACRE,86.5,CO,CONEJOS
8023,2007,BU / ACRE,107,CO,COSTILLA
8105,2007,BU / ACRE,111,CO,RIO GRANDE
8109,2007,BU / ACRE,109,CO,SAGUACHE
8009,2007,BU / ACRE,35.5,CO,BACA
8011,2007,BU / ACRE,52,CO,BENT
8025,2007,BU / ACRE,28.5,CO,CROWLEY
8071,2007,BU / ACRE,35,CO,LAS ANIMAS
8089,2007,BU / ACRE,67,CO,OTERO
8099,2007,BU / ACRE,43,CO,PROWERS
8101,2007,BU / ACRE,56,CO,PUEBLO
10003,2007,BU / ACRE,72.2,DE,NEW CASTLE
10001,2007,BU / ACRE,69.1,DE,KENT
10005,2007,BU / ACRE,65.5,DE,SUSSEX
13129,2007,BU / ACRE,42,GA,GORDON
13157,2007,BU / ACRE,25,GA,JACKSON
13219,2007,BU / ACRE,30,GA,OCONEE
13297,2007,BU / ACRE,33,GA,WALTON
13119,2007,BU / ACRE,15,GA,FRANKLIN
13147,2007,BU / ACRE,22,GA,HART
13195,2007,BU / ACRE,31,GA,MADISON
13221,2007,BU / ACRE,33,GA,OGLETHORPE
13317,2007,BU / ACRE,27,GA,WILKES
13077,2007,BU / ACRE,30,GA,COWETA
13171,2007,BU / ACRE,30,GA,LAMAR
13193,2007,BU / ACRE,45,GA,MACON
13197,2007,BU / ACRE,30,GA,MARION
13199,2007,BU / ACRE,30,GA,MERIWETHER
13231,2007,BU / ACRE,45,GA,PIKE
13249,2007,BU / ACRE,28,GA,SCHLEY
13269,2007,BU / ACRE,35,GA,TAYLOR
13021,2007,BU / ACRE,45,GA,BIBB
13023,2007,BU / ACRE,50,GA,BLECKLEY
13091,2007,BU / ACRE,38,GA,DODGE
13153,2007,BU / ACRE,43,GA,HOUSTON
13159,2007,BU / ACRE,30,GA,JASPER
13167,2007,BU / ACRE,31,GA,JOHNSON
13175,2007,BU / ACRE,37,GA,LAURENS
13207,2007,BU / ACRE,40,GA,MONROE
13209,2007,BU / ACRE,26,GA,MONTGOMERY
13211,2007,BU / ACRE,27,GA,MORGAN
13225,2007,BU / ACRE,40,GA,PEACH
13235,2007,BU / ACRE,38,GA,PULASKI
13303,2007,BU / ACRE,33,GA,WASHINGTON
13309,2007,BU / ACRE,35,GA,WHEELER
13319,2007,BU / ACRE,43,GA,WILKINSON
13031,2007,BU / ACRE,26,GA,BULLOCH
13033,2007,BU / ACRE,40,GA,BURKE
13043,2007,BU / ACRE,28,GA,CANDLER
13107,2007,BU / ACRE,38,GA,EMANUEL
13163,2007,BU / ACRE,37,GA,JEFFERSON
13165,2007,BU / ACRE,25,GA,JENKINS
13251,2007,BU / ACRE,32,GA,SCREVEN
13301,2007,BU / ACRE,25,GA,WARREN
13007,2007,BU / ACRE,50,GA,BAKER
13037,2007,BU / ACRE,58,GA,CALHOUN
13061,2007,BU / ACRE,66,GA,CLAY
13087,2007,BU / ACRE,39,GA,DECATUR
13095,2007,BU / ACRE,63,GA,DOUGHERTY
13099,2007,BU / ACRE,55,GA,EARLY
13131,2007,BU / ACRE,47,GA,GRADY
13177,2007,BU / ACRE,43,GA,LEE
13201,2007,BU / ACRE,58,GA,MILLER
13205,2007,BU / ACRE,46,GA,MITCHELL
13243,2007,BU / ACRE,50,GA,RANDOLPH
13253,2007,BU / ACRE,62,GA,SEMINOLE
13259,2007,BU / ACRE,36,GA,STEWART
13261,2007,BU / ACRE,50,GA,SUMTER
13273,2007,BU / ACRE,51,GA,TERRELL
13275,2007,BU / ACRE,34,GA,THOMAS
13307,2007,BU / ACRE,20,GA,WEBSTER
13003,2007,BU / ACRE,30,GA,ATKINSON
13017,2007,BU / ACRE,47,GA,BEN HILL
13019,2007,BU / ACRE,46,GA,BERRIEN
13027,2007,BU / ACRE,55,GA,BROOKS
13069,2007,BU / ACRE,35,GA,COFFEE
13071,2007,BU / ACRE,45,GA,COLQUITT
13075,2007,BU / ACRE,40,GA,COOK
13081,2007,BU / ACRE,30,GA,CRISP
13093,2007,BU / ACRE,46,GA,DOOLY
13155,2007,BU / ACRE,35,GA,IRWIN
